date,district,actual_m3
2024-01-28,Усольский район,60.185363
2024-01-28,Черемховский район,31.064563
2024-01-28,Шелеховский район,50.506705
2024-01-28,Эхирит-Булагатский район,8.259226
2024-01-29,Аларский район,4.100375
2024-01-29,Ангарский ГО,185.152605
2024-01-29,Балаганский район,3.585275
2024-01-29,Баяндаевский район,13.755815
2024-01-29,Бодайбинский район,11.427521
2024-01-29,Боханский район,5.391397
2024-01-29,Жигаловский район,6.477219
2024-01-29,Заларинский район,7.822798
2024-01-29,Зиминский район,27.904626
2024-01-29,Иркутский район,177.400759
2024-01-29,Казачинско-Ленский район,7.766893
2024-01-29,Качугский район,3.000158
2024-01-29,Куйтунский район,3.936228
2024-01-29,Левый берег,348.276190
2024-01-29,МО Саянск,29.429639
2024-01-29,Осинский район,8.738650
2024-01-29,Правый берег,299.921439
2024-01-29,Слюдянский район,25.741682
2024-01-29,Тулунский район,39.855818
2024-01-29,Усольский район,81.932301
2024-01-29,Усть-Удинский район,1.603965
2024-01-29,Черемховский район,40.450517
2024-01-29,Шелеховский район,54.798614
2024-01-29,Эхирит-Булагатский район,14.772867
2024-01-30,Аларский район,10.032217
2024-01-30,Ангарский ГО,155.950557
2024-01-30,Бодайбинский район,9.269359
2024-01-30,Боханский район,3.007316
2024-01-30,Жигаловский район,3.676115
2024-01-30,Заларинский район,3.543436
2024-01-30,Зиминский район,37.663642
2024-01-30,Иркутский район,130.138472
2024-01-30,Казачинско-Ленский район,10.450457
2024-01-30,Куйтунский район,5.420422
2024-01-30,Левый берег,313.413756
2024-01-30,МО Саянск,22.110055
2024-01-30,Осинский район,6.249741
2024-01-30,Правый берег,262.520101
2024-01-30,Слюдянский район,27.179343
2024-01-30,Тулунский район,41.747939
2024-01-30,Усольский район,83.763984
2024-01-30,Черемховский район,32.214390
2024-01-30,Шелеховский район,44.860781
2024-01-30,Эхирит-Булагатский район,11.411484
2024-01-31,Аларский район,3.241851
2024-01-31,Ангарский ГО,147.646203
2024-01-31,Бодайбинский район,7.411123
2024-01-31,Боханский район,2.223692
2024-01-31,Жигаловский район,4.977811
2024-01-31,Заларинский район,9.035010
2024-01-31,Зиминский район,26.304033
2024-01-31,Иркутский район,136.260867
2024-01-31,Казачинско-Ленский район,9.566025
2024-01-31,Куйтунский район,3.471107
2024-01-31,Левый берег,312.556858
2024-01-31,МО Саянск,28.445278
2024-01-31,Ольхонский район,4.764169
2024-01-31,Осинский район,4.805150
2024-01-31,Правый берег,270.176333
2024-01-31,Слюдянский район,24.471761
2024-01-31,Тулунский район,38.221686
